1,date_ymd,time_h:m:s,feeding_time,group_size,group,access_focal,location_focal,condition,cl_distance,cl_height,cp_distance,cp_height,du_distance,du_height,fg_distance,fg_height,fy_distance,fy_height,iz_distance,iz_height,ma_distance,ma_height,me_distance,me_height,pa_distance,pa_height,pe_distance,pe_height,po_distance,po_height,pp_distance,pp_height,rk_distance,rk_height,tr_distance,tr_height,observer_id
1,06/12/2016, 14:28:03,1,5,2,satellite,satellite,satellite,1,low,,,10,med,,,,,,,8,med,6,med,,,focal,low,,,,,,,,,916
1,06/12/2016, 14:38:03,2,5,2,satellite,satellite,satellite,focal,low,,,5,med,,,,,,,4,ground,6,low,,,4,med,,,,,,,,,916
1,06/12/2016, 14:48:03,2,5,2,satellite,satellite,satellite,3,ground,,,focal,ground,,,,,,,1,ground,6,low,,,7,low,,,,,,,,,916
1,06/12/2016, 14:58:03,2,5,2,satellite,satellite,satellite,7,low,,,1,ground,,,,,,,focal,ground,7,low,,,7,low,,,,,,,,,916
1,06/12/2016, 15:08:03,0,5,2,satellite,satellite,satellite,3,low,,,5,low,,,,,,,10,ground,focal,med,,,6,low,,,,,,,,,916
1,06/12/2016, 15:18:03,0,5,2,satellite,satellite,satellite,5,low,,,1,ground,,,,,,,2,low,1,low,,,focal,ground,,,,,,,,,916
1,06/12/2016, 15:28:03,0,5,2,satellite,satellite,satellite,focal,low,,,7,med,,,,,,,5,ground,7,low,,,2,low,,,,,,,,,916
1,06/12/2016, 15:38:03,0,5,2,satellite,satellite,satellite,3,low,,,1,ground,,,,,,,2,ground,focal,ground,,,5,low,,,,,,,,,916
1,06/12/2016, 15:58:05,0,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,2,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 16:08:05,1,2,4,satellite,satellite,satellite, ,,2,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 16:18:05,1,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,5,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 16:28:05,1,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,6,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 16:38:05,2,2,4,satellite,satellite,satellite, ,,10,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 16:48:05,2,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,9,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 16:58:05,2,2,4,satellite,satellite,satellite, ,,5,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 17:08:05,0,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,6,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 17:18:05,0,2,4,satellite,satellite,satellite, ,,10,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/12/2016, 17:28:05,0,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,9,low,,,,,,,,,,,,,,,,,916
1,06/12/2016, 17:38:05,0,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,3,med,,,,,,,,,,,,,,,,,916
