record,observer_id,date,time,time_meal,enclosure_access,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,,,,
628,916,06/10/2016,9:49:40,none,both_enclosures,center,PO,PO,,40.115,1,feed,cbc,forage,,,,,
630,916,06/10/2016,9:50:20,none,both_enclosures,center,PO,PO,,22.841,1,inactive,cbc,inactive,,,,,
632,916,06/10/2016,9:50:43,none,both_enclosures,center,PO,PO,,106.65,1,feed,cbc,forage,,,,,
634,916,06/10/2016,9:52:30,none,both_enclosures,center,PO,PO,,24.037,1,movement,cbc,movement,,,,,
636,916,06/10/2016,9:52:54,none,both_enclosures,center,PO,PO,,25.009,1,feed,cbc,forage,,,,,
639,916,06/10/2016,9:53:19,none,both_enclosures,satellite,PO,PO,PO,77.208,1,sdb_yawn,sbc,other,,,,,
641,916,06/10/2016,9:54:36,none,both_enclosures,satellite,PO,PO,,141.606,1,feed,sbc,forage,,,,,
643,916,06/10/2016,9:56:57,none,both_enclosures,satellite,PO,PO,,8.748,1,movement,sbc,movement,,,,,
645,916,06/10/2016,9:57:06,none,both_enclosures,satellite,PO,PO,,128.056,1,feed,sbc,forage,,,,,
647,916,06/10/2016,9:59:14,none,both_enclosures,satellite,PO,PO,,14.791,1,movement,sbc,movement,,,,,
649,916,06/10/2016,9:59:29,none,both_enclosures,satellite,PO,PO,,21.159,1,feed,sbc,forage,,,,,
652,916,06/10/2016,9:59:50,none,both_enclosures,center,PO,PO,,10.914,1,movement,cbc,movement,,,,,
654,916,06/10/2016,10:00:01,none,both_enclosures,center,PO,PO,,16.828,1,inactive,cbc,inactive,,,,,
656,916,06/10/2016,10:00:18,none,both_enclosures,center,PO,PO,,2.304,1,feed,cbc,forage,,,,,
658,916,06/10/2016,10:00:20,none,both_enclosures,center,PO,PO,,11.051,1,movement,cbc,movement,,,,,
660,916,06/10/2016,10:00:31,none,both_enclosures,center,PO,PO,,23.375,1,inactive,cbc,inactive,,,,,
