record,observer_id,date,period,month,time,time_meal,enclosure_access,n_encl,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,focal_sex,focal_group,focal_age
777,1231,06/10/2016,jun-jul,1,14:14:13,before,satellite_only,1,satellite,CL,CL,CL,4.024,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
779,1231,06/10/2016,jun-jul,1,14:14:17,before,satellite_only,1,satellite,CL,CL,,22.251,1,movement,satellite,movement,,male,sat2,subadult
781,1231,06/10/2016,jun-jul,1,14:14:39,before,satellite_only,1,satellite,CL,CL,CL,5.21,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
783,1231,06/10/2016,jun-jul,1,14:14:44,before,satellite_only,1,satellite,CL,CL,,4.293,1,inactive,satellite,inactive,,male,sat2,subadult
785,1231,06/10/2016,jun-jul,1,14:14:48,before,satellite_only,1,satellite,CL,CL,CL,5.446,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
787,1231,06/10/2016,jun-jul,1,14:14:54,before,satellite_only,1,satellite,CL,CL,,15.021,1,movement,satellite,movement,,male,sat2,subadult
789,1231,06/10/2016,jun-jul,1,14:15:09,before,satellite_only,1,satellite,CL,CL,,2.95,1,inactive,satellite,inactive,,male,sat2,subadult
791,1231,06/10/2016,jun-jul,1,14:15:12,before,satellite_only,1,satellite,CL,CL,CL,5.747,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
793,1231,06/10/2016,jun-jul,1,14:15:18,before,satellite_only,1,satellite,CL,CL,,14.4,1,movement,satellite,movement,,male,sat2,subadult
795,1231,06/10/2016,jun-jul,1,14:15:32,before,satellite_only,1,satellite,CL,CL,,9.15,1,inactive,satellite,inactive,,male,sat2,subadult
797,1231,06/10/2016,jun-jul,1,14:15:41,before,satellite_only,1,satellite,CL,CL,,19.465,1,movement,satellite,movement,,male,sat2,subadult
799,1231,06/10/2016,jun-jul,1,14:16:01,before,satellite_only,1,satellite,CL,CL,,8.276,1,inactive,satellite,inactive,,male,sat2,subadult
801,1231,06/10/2016,jun-jul,1,14:16:09,before,satellite_only,1,satellite,CL,CL,CL,5.625,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
803,1231,06/10/2016,jun-jul,1,14:16:14,before,satellite_only,1,satellite,CL,CL,,32.167,1,movement,satellite,movement,,male,sat2,subadult
805,1231,06/10/2016,jun-jul,1,14:16:47,before,satellite_only,1,satellite,CL,CL,CL,7.299,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
807,1231,06/10/2016,jun-jul,1,14:16:54,before,satellite_only,1,satellite,CL,CL,,9.089,1,movement,satellite,movement,,male,sat2,subadult
809,1231,06/10/2016,jun-jul,1,14:17:03,before,satellite_only,1,satellite,CL,CL,,20.234,1,inactive,satellite,inactive,,male,sat2,subadult
811,1231,06/10/2016,jun-jul,1,14:17:23,before,satellite_only,1,satellite,CL,CL,CL,4.823,1,sdb_other,satellite,self_directed,,male,sat2,subadult
813,1231,06/10/2016,jun-jul,1,14:17:28,before,satellite_only,1,satellite,CL,CL,CL,6.497,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
815,1231,06/10/2016,jun-jul,1,14:17:35,before,satellite_only,1,satellite,CL,CL,,9.204,1,inactive,satellite,inactive,,male,sat2,subadult
817,1231,06/10/2016,jun-jul,1,14:17:44,before,satellite_only,1,satellite,CL,CL,CL,5.093,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
819,1231,06/10/2016,jun-jul,1,14:17:49,before,satellite_only,1,satellite,CL,CL,,15.23,1,movement,satellite,movement,,male,sat2,subadult
821,1231,06/10/2016,jun-jul,1,14:18:04,before,satellite_only,1,satellite,CL,CL,,4.433,1,inactive,satellite,inactive,,male,sat2,subadult
823,1231,06/10/2016,jun-jul,1,14:18:09,before,satellite_only,1,satellite,CL,CL,CL,3.558,1,sdb_yawn,satellite,other,,male,sat2,subadult
825,1231,06/10/2016,jun-jul,1,14:18:12,before,satellite_only,1,satellite,CL,CL,,68.803,1,inactive,satellite,inactive,,male,sat2,subadult
827,1231,06/10/2016,jun-jul,1,14:19:21,before,satellite_only,1,satellite,CL,CL,HUMAN,3.739,1,human_interaction,satellite,caregiver,,male,sat2,subadult
829,1231,06/10/2016,jun-jul,1,14:19:25,before,satellite_only,1,satellite,CL,CL,,13.137,1,inactive,satellite,inactive,,male,sat2,subadult
834,1231,06/10/2016,jun-jul,1,14:21:27,before,satellite_only,1,satellite,PE,PE,,44.97,1,inactive,satellite,inactive,,female,sat2,subadult
835,1231,06/10/2016,jun-jul,1,14:22:09,before,satellite_only,1,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,female,sat2,subadult
837,1231,06/10/2016,jun-jul,1,14:22:12,before,satellite_only,1,satellite,PE,PE,,33.998,1,inactive,satellite,inactive,,female,sat2,subadult
838,1231,06/10/2016,jun-jul,1,14:22:43,before,satellite_only,1,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,female,sat2,subadult
840,1231,06/10/2016,jun-jul,1,14:22:46,before,satellite_only,1,satellite,PE,PE,,9.385,1,inactive,satellite,inactive,,female,sat2,subadult
842,1231,06/10/2016,jun-jul,1,14:22:55,before,satellite_only,1,satellite,PE,PE,PE,4.896,1,sdb_scratching,satellite,self_directed,,female,sat2,subadult
844,1231,06/10/2016,jun-jul,1,14:23:00,before,satellite_only,1,satellite,PE,PE,,71.633,1,inactive,satellite,inactive,,female,sat2,subadult
